,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
851,10003.78,3.0,0.0,0.0,16005893537.0,31966132226.0,558519.0,4598.0,12971617.0,4922745.0,4667701.0,4046049.0,822099.0,38968.0,i-results,SUBW_V0,XORI_V0,SUBW_V0_XORI_V0-10
852,10003.49,11.0,0.0,0.0,16005468616.0,31964915892.0,534643.0,8015.0,12940052.0,5074553.0,4613155.0,3998694.0,789314.0,38639.0,i-results,SUBW_V0,XOR_V0,SUBW_V0_XOR_V0-10
853,10001.13,36.0,0.0,0.0,16001723891.0,31799561876.0,3082457.0,35448.0,41336611.0,34013949.0,29911355.0,25443855.0,3842379.0,272038.0,i-results,SUB_V0,ADDI_V0,SUB_V0_ADDI_V0-10
854,10002.6,22.0,0.0,0.0,16004036333.0,31960551578.0,560075.0,12524.0,14259737.0,4310481.0,3511659.0,5104881.0,736019.0,40909.0,i-results,SUB_V0,ADDW_V0,SUB_V0_ADDW_V0-10
855,9957.82,916.0,1.0,0.0,15944380986.0,10633013165.0,1713704.0,143613.0,12307625.0,5303548894.0,10604271418.0,9753471.0,1901318.0,153722.0,i-results,SUB_V0,DIVU_V0,SUB_V0_DIVU_V0-10
856,10004.03,0.0,0.0,0.0,16006318330.0,10671624396.0,499127.0,2149.0,3834769.0,5333316575.0,10667293352.0,3466988.0,792139.0,36720.0,i-results,SUB_V0,DIV_V0,SUB_V0_DIV_V0-10
857,9929.33,1721.0,0.0,0.0,15909290873.0,31669423870.0,2735511.0,245188.0,28244406.0,14806570.0,17530846.0,14225796.0,2730687.0,276497.0,i-results,SUB_V0,MULW_V0,SUB_V0_MULW_V0-10
858,10002.21,25.0,0.0,0.0,16003472576.0,10668800200.0,565872.0,13416.0,6183060.0,5331214597.0,10735039863.0,5611093.0,812760.0,41585.0,i-results,SUB_V0,MUL_V0,SUB_V0_MUL_V0-10
859,10003.02,17.0,0.0,0.0,16004698917.0,31961145355.0,558610.0,12407.0,14662586.0,4356658.0,3673772.0,5535810.0,841535.0,40209.0,i-results,SUB_V0,ORI_V0,SUB_V0_ORI_V0-10
860,10002.6,13.0,0.0,0.0,16004109789.0,10669898021.0,575221.0,9716.0,4745556.0,5332117092.0,10664992115.0,4324411.0,799823.0,40175.0,i-results,SUB_V0,REMUW_V0,SUB_V0_REMUW_V0-10
861,10003.84,3.0,0.0,0.0,16006025547.0,10671069785.0,533016.0,3983.0,4893808.0,5332648529.0,10665456226.0,4549694.0,654766.0,38070.0,i-results,SUB_V0,REM_V0,SUB_V0_REM_V0-10
862,10003.77,4.0,0.0,0.0,16005887184.0,31965584423.0,562017.0,5459.0,13008373.0,5136675.0,4893894.0,4058208.0,887144.0,39273.0,i-results,SUB_V0,SLLI_V0,SUB_V0_SLLI_V0-10
863,9933.53,1589.0,0.0,0.0,15914391006.0,31683861223.0,2571279.0,234076.0,27473451.0,15452374.0,18700579.0,13882313.0,2748721.0,242553.0,i-results,SUB_V0,SLL_V0,SUB_V0_SLL_V0-10
864,10003.36,12.0,0.0,0.0,16005253936.0,31963717105.0,537973.0,9076.0,13042891.0,5301391.0,4869134.0,4084903.0,843883.0,40012.0,i-results,SUB_V0,SLTI_V0,SUB_V0_SLTI_V0-10
