,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
0,10003.5,10.0,0.0,0.0,16005492823.0,2467970822.0,559104.0,8731.0,3823129.0,13536476268.0,29527355504.0,4233922.0,1000820.0,40315.0,f-dep-results,FDIV.D_V0,FSUB.D_V0,FDIV.D_V0_FSUB.D_V0-10
1,9871.24,3012.0,0.0,0.0,15832378904.0,4594002877.0,4426271.0,391474.0,25383628.0,11222115509.0,26906773813.0,20447491.0,4395704.0,456493.0,f-dep-results,FSUB.D_V0,FCVT.S.D_V0,FSUB.D_V0_FCVT.S.D_V0-10
2,10003.98,0.0,0.0,0.0,16006238657.0,4661943313.0,502125.0,2724.0,3446634.0,11344084757.0,27336715902.0,3759002.0,776771.0,35401.0,f-dep-results,FSUB.D_V0,FMAX.D_V0,FSUB.D_V0_FMAX.D_V0-10
3,10003.46,10.0,0.0,0.0,16005400715.0,4578841167.0,556189.0,8485.0,3784509.0,11426082560.0,27416879039.0,4182423.0,923135.0,39181.0,f-dep-results,FMUL.D_V0,FMAX.D_V0,FMUL.D_V0_FMAX.D_V0-10
4,9916.34,2015.0,0.0,0.0,15892779121.0,4025331186.0,3134667.0,286952.0,19724673.0,11854399380.0,27642354388.0,16512352.0,3285372.0,307851.0,f-dep-results,FMADD.D_V0,FCVT.D.S_V0,FMADD.D_V0_FCVT.D.S_V0-10
5,9944.08,1213.0,2.0,0.0,15926776336.0,4580798842.0,2117003.0,204883.0,14168873.0,11336289072.0,27191050318.0,12450066.0,2569157.0,191648.0,f-dep-results,FMUL.D_V0,FMIN.D_V0,FMUL.D_V0_FMIN.D_V0-10
6,10003.53,9.0,0.0,0.0,16005518831.0,2292093281.0,538632.0,8256.0,3852920.0,13711747375.0,29703302422.0,4292680.0,1039843.0,38426.0,f-dep-results,FNMSUB.D_V0,FSQRT.D_V0,FNMSUB.D_V0_FSQRT.D_V0-10
7,9832.42,3919.0,0.0,0.0,15782883246.0,3606714159.0,5597149.0,499302.0,32875371.0,12152373217.0,27745076801.0,26393806.0,5602093.0,586139.0,f-dep-results,FNMSUB.D_V0,FSUB.D_V0,FNMSUB.D_V0_FSUB.D_V0-10
8,10002.74,9.0,0.0,0.0,16004276707.0,5338939676.0,521137.0,7899.0,3589544.0,10663832236.0,26654725582.0,3912105.0,1018676.0,37120.0,f-dep-results,FSGNJ.D_V0,FCVT.D.S_V0,FSGNJ.D_V0_FCVT.D.S_V0-10
9,10003.72,5.0,0.0,0.0,16005830766.0,4007421106.0,548769.0,7260.0,3721799.0,11997875401.0,27989162204.0,4163004.0,899450.0,39594.0,f-dep-results,FMUL.D_V0,FMUL.D_V0,FMUL.D_V0_FMUL.D_V0-10
10,10004.0,0.0,0.0,0.0,16006271877.0,5340860897.0,493117.0,2499.0,3291879.0,10665465050.0,26657795220.0,3616826.0,880868.0,36138.0,f-dep-results,FADD.D_V0,FADD.D_V0,FADD.D_V0_FADD.D_V0-10
11,10003.4,10.0,0.0,0.0,16005322554.0,4578671240.0,539995.0,9341.0,4042974.0,11425858691.0,27415974550.0,4467747.0,949058.0,38852.0,f-dep-results,FMUL.D_V0,FSGNJ.D_V0,FMUL.D_V0_FSGNJ.D_V0-10
12,9850.98,3468.0,0.0,0.0,15805289440.0,5339199682.0,5020844.0,430965.0,29469105.0,10446533900.0,26083094717.0,23357193.0,5442705.0,514960.0,f-dep-results,FSGNJ.D_V0,FCVT.S.D_V0,FSGNJ.D_V0_FCVT.S.D_V0-10
13,10003.81,3.0,0.0,0.0,16005964875.0,5340853520.0,546755.0,6033.0,3850931.0,10664749570.0,26655789222.0,4309585.0,929084.0,40700.0,f-dep-results,FSGNJ.D_V0,FMAX.D_V0,FSGNJ.D_V0_FMAX.D_V0-10
14,10003.9,2.0,0.0,0.0,16006116280.0,5339511006.0,505443.0,3297.0,3367085.0,10665311151.0,26658594615.0,3718197.0,925683.0,36075.0,f-dep-results,FSGNJ.D_V0,FSGNJ.D_V0,FSGNJ.D_V0_FSGNJ.D_V0-10
15,10003.83,3.0,0.0,0.0,16005988664.0,5340968745.0,539665.0,4631.0,3670895.0,10664862498.0,26656525821.0,4078596.0,826659.0,38756.0,f-dep-results,FADD.D_V0,FCVT.D.S_V0,FADD.D_V0_FCVT.D.S_V0-10
16,10004.02,0.0,0.0,0.0,16006298452.0,4578850953.0,505308.0,3271.0,3356893.0,11427297402.0,27420032426.0,3670222.0,919104.0,34651.0,f-dep-results,FMUL.D_V0,FSGNJN.D_V0,FMUL.D_V0_FSGNJN.D_V0-10
17,10004.03,0.0,0.0,0.0,16006334075.0,5340812848.0,490595.0,2157.0,3394135.0,10665498322.0,26657975163.0,3720142.0,789596.0,35888.0,f-dep-results,FADD.D_V0,FCVT.S.D_V0,FADD.D_V0_FCVT.S.D_V0-10
18,10003.83,2.0,0.0,0.0,16006017257.0,5339380300.0,537633.0,5464.0,5136552.0,10663718677.0,26655189287.0,5541127.0,836735.0,40442.0,f-dep-results,FSGNJN.D_V0,FCVT.D.S_V0,FSGNJN.D_V0_FCVT.D.S_V0-10
19,10003.15,14.0,0.0,0.0,16004899235.0,4578467941.0,556580.0,12175.0,5764366.0,11424043861.0,27412118516.0,6087369.0,909799.0,40411.0,f-dep-results,FMUL.D_V0,FSGNJX.D_V0,FMUL.D_V0_FSGNJX.D_V0-10
20,10002.55,13.0,0.0,0.0,16004046881.0,2672768550.0,558358.0,10274.0,4342156.0,13329813700.0,29318699907.0,4760472.0,908970.0,40826.0,f-dep-results,FADD.D_V0,FDIV.D_V0,FADD.D_V0_FDIV.D_V0-10
21,10003.83,2.0,0.0,0.0,16005996265.0,4007248754.0,551934.0,5848.0,4308570.0,11997628293.0,27988166945.0,4749059.0,991971.0,39886.0,f-dep-results,FMADD.D_V0,FCVT.S.D_V0,FMADD.D_V0_FCVT.S.D_V0-10
22,10003.84,2.0,0.0,0.0,16006026445.0,5339412991.0,539679.0,5103.0,5199844.0,10663634394.0,26654898075.0,5612845.0,840286.0,38874.0,f-dep-results,FSGNJN.D_V0,FCVT.S.D_V0,FSGNJN.D_V0_FCVT.S.D_V0-10
23,10003.88,1.0,0.0,0.0,16006088634.0,3206291743.0,510705.0,4267.0,3413899.0,12798480676.0,28791856939.0,3755382.0,1009750.0,36884.0,f-dep-results,FMADD.D_V0,FMADD.D_V0,FMADD.D_V0_FMADD.D_V0-10
24,9873.95,2950.0,0.0,0.0,15836917688.0,4032642531.0,4335298.0,379158.0,25904374.0,11786192855.0,27476336964.0,20873582.0,4492255.0,447342.0,f-dep-results,FMUL.D_V0,FSUB.D_V0,FMUL.D_V0_FSUB.D_V0-10
25,10003.47,10.0,0.0,0.0,16005454175.0,4007376804.0,539272.0,9260.0,3713572.0,11997535216.0,27988643868.0,4148732.0,943261.0,39685.0,f-dep-results,FNMADD.D_V0,FCVT.D.S_V0,FNMADD.D_V0_FCVT.D.S_V0-10
26,10003.44,10.0,0.0,0.0,16005360335.0,5340555190.0,541666.0,8675.0,4133415.0,10664167626.0,26653928111.0,4539109.0,946617.0,39037.0,f-dep-results,FSGNJN.D_V0,FMAX.D_V0,FSGNJN.D_V0_FMAX.D_V0-10
27,10003.84,3.0,0.0,0.0,16005974730.0,5339555203.0,547525.0,6052.0,3898921.0,10664766170.0,26657090448.0,4329670.0,931227.0,40614.0,f-dep-results,FSGNJN.D_V0,FSGNJ.D_V0,FSGNJN.D_V0_FSGNJ.D_V0-10
28,10003.88,2.0,0.0,0.0,16006076707.0,4007186169.0,537883.0,5213.0,5263889.0,11996824301.0,27987292786.0,5684626.0,817404.0,38958.0,f-dep-results,FNMADD.D_V0,FCVT.S.D_V0,FNMADD.D_V0_FCVT.S.D_V0-10
29,10003.46,10.0,0.0,0.0,16005385436.0,5339335382.0,542422.0,9312.0,3926118.0,10664278288.0,26655437818.0,4345814.0,978826.0,39244.0,f-dep-results,FSGNJN.D_V0,FSGNJN.D_V0,FSGNJN.D_V0_FSGNJN.D_V0-10
30,10003.84,2.0,0.0,0.0,16006025629.0,5339368952.0,510020.0,4994.0,3930032.0,10664827830.0,26657705556.0,4261403.0,1013667.0,36057.0,f-dep-results,FSGNJX.D_V0,FCVT.D.S_V0,FSGNJX.D_V0_FCVT.D.S_V0-10
31,10003.86,3.0,0.0,0.0,16006044238.0,5339643183.0,546973.0,5781.0,3593672.0,10664985717.0,26657609336.0,4049964.0,892480.0,39270.0,f-dep-results,FSGNJX.D_V0,FCVT.S.D_V0,FSGNJX.D_V0_FCVT.S.D_V0-10
32,10003.74,3.0,0.0,0.0,16005827376.0,4006140172.0,552223.0,6182.0,3870298.0,11998035605.0,27990060996.0,4312584.0,976003.0,41320.0,f-dep-results,FMADD.D_V0,FMAX.D_V0,FMADD.D_V0_FMAX.D_V0-10
33,10003.95,0.0,0.0,0.0,16006191255.0,4006516858.0,503596.0,2646.0,3207595.0,11998534880.0,27992165164.0,3544518.0,916544.0,35884.0,f-dep-results,FSGNJX.D_V0,FMADD.D_V0,FSGNJX.D_V0_FMADD.D_V0-10
34,10003.4,10.0,0.0,0.0,16005335308.0,2292098279.0,537585.0,8110.0,3580959.0,13711805237.0,29703257020.0,3990723.0,961170.0,39336.0,f-dep-results,FNMADD.D_V0,FDIV.D_V0,FNMADD.D_V0_FDIV.D_V0-10
35,9966.77,514.0,1.0,0.0,15953538333.0,3207905240.0,1234034.0,113190.0,10088067.0,12737782902.0,28649874346.0,10426472.0,2015047.0,98901.0,f-dep-results,FNMADD.D_V0,FMADD.D_V0,FNMADD.D_V0_FMADD.D_V0-10
36,9847.43,3588.0,1.0,0.0,15803200707.0,5342404935.0,5170156.0,457382.0,30912512.0,10440173381.0,26069279393.0,24833075.0,4888770.0,495077.0,f-dep-results,FSGNJX.D_V0,FMAX.D_V0,FSGNJX.D_V0_FMAX.D_V0-10
37,9833.59,3853.0,0.0,0.0,15784699799.0,4598885250.0,5501344.0,466788.0,30038203.0,11166020959.0,26766761557.0,23540234.0,5276599.0,525827.0,f-dep-results,FSUB.D_V0,FSGNJ.D_V0,FSUB.D_V0_FSGNJ.D_V0-10
38,10003.27,12.0,0.0,0.0,16005084239.0,4005839881.0,556051.0,10938.0,5725173.0,11995794583.0,27985067113.0,6101337.0,933125.0,40188.0,f-dep-results,FMADD.D_V0,FSGNJ.D_V0,FMADD.D_V0_FSGNJ.D_V0-10
39,10003.48,9.0,0.0,0.0,16005435633.0,4661872549.0,552975.0,6764.0,3796861.0,11343104334.0,27333706654.0,4192734.0,840161.0,38336.0,f-dep-results,FSUB.D_V0,FSGNJN.D_V0,FSUB.D_V0_FSGNJN.D_V0-10
40,9961.79,589.0,0.0,0.0,15946529503.0,4004865116.0,1308746.0,126106.0,11202035.0,11933744694.0,27834345523.0,11633718.0,1899735.0,114833.0,f-dep-results,FSUB.D_V0,FSUB.D_V0,FSUB.D_V0_FSUB.D_V0-10
41,10002.12,54.0,1.0,0.0,16003770264.0,4006682492.0,619251.0,19272.0,5190389.0,11994209670.0,27981474765.0,5565301.0,1049781.0,45312.0,f-dep-results,FMADD.D_V0,FSGNJN.D_V0,FMADD.D_V0_FSGNJN.D_V0-10
42,10003.5,9.0,0.0,0.0,16005479159.0,3561862353.0,559726.0,8571.0,3981295.0,12441851069.0,28433151851.0,4383379.0,956987.0,39004.0,f-dep-results,FMADD.D_V0,FSUB.D_V0,FMADD.D_V0_FSUB.D_V0-10
43,9892.1,2531.0,0.0,0.0,15860440063.0,5340029415.0,3807798.0,351894.0,24169065.0,10503665452.0,26234048515.0,19810486.0,3990176.0,389657.0,f-dep-results,FMAX.D_V0,FCVT.D.S_V0,FMAX.D_V0_FCVT.D.S_V0-10
44,10003.26,12.0,0.0,0.0,16005069707.0,5340589846.0,566869.0,10449.0,4042471.0,10663900836.0,26653088605.0,4463759.0,1010407.0,40607.0,f-dep-results,FMAX.D_V0,FCVT.S.D_V0,FMAX.D_V0_FCVT.S.D_V0-10
45,10003.95,0.0,0.0,0.0,16006208218.0,4006480606.0,491446.0,2066.0,3210979.0,11998575366.0,27992578109.0,3522775.0,892992.0,35436.0,f-dep-results,FADD.D_V0,FMADD.D_V0,FADD.D_V0_FMADD.D_V0-10
46,10001.59,21.0,0.0,0.0,16002354243.0,4708722387.0,3313954.0,32533.0,25418955.0,11288222951.0,27152070173.0,28011885.0,4148451.0,299769.0,f-dep-results,FADD.D_V0,FMAX.D_V0,FADD.D_V0_FMAX.D_V0-10
47,10003.59,3.0,0.0,0.0,16005628018.0,4661543626.0,542317.0,5726.0,5804169.0,11341613521.0,27330411065.0,6217828.0,726225.0,39060.0,f-dep-results,FADD.D_V0,FMIN.D_V0,FADD.D_V0_FMIN.D_V0-10
48,10001.79,16.0,0.0,0.0,16002682131.0,4057860989.0,3277157.0,32771.0,25527000.0,11935417074.0,27797315038.0,27891195.0,4269358.0,299310.0,f-dep-results,FADD.D_V0,FMSUB.D_V0,FADD.D_V0_FMSUB.D_V0-10
49,10003.18,12.0,0.0,0.0,16004994993.0,4578709360.0,562649.0,9983.0,4222928.0,11425330288.0,27414916860.0,4610450.0,862265.0,39269.0,f-dep-results,FADD.D_V0,FMUL.D_V0,FADD.D_V0_FMUL.D_V0-10
50,10003.53,5.0,0.0,0.0,16005526679.0,5340612880.0,552505.0,7987.0,4295344.0,10664125326.0,26654071125.0,4711263.0,1004003.0,39450.0,f-dep-results,FMAX.D_V0,FMAX.D_V0,FMAX.D_V0_FMAX.D_V0-10
51,10002.62,24.0,2.0,0.0,16004314399.0,5340538537.0,581364.0,14373.0,5361850.0,10661986345.0,26649131424.0,5736110.0,1058854.0,42976.0,f-dep-results,FMIN.D_V0,FCVT.D.S_V0,FMIN.D_V0_FCVT.D.S_V0-10
52,9819.01,4196.0,0.0,0.0,15764651615.0,5339750990.0,5945290.0,535825.0,35031820.0,10400989986.0,25962619835.0,28007759.0,5887355.0,590492.0,f-dep-results,FMIN.D_V0,FCVT.S.D_V0,FMIN.D_V0_FCVT.S.D_V0-10
53,10003.91,1.0,0.0,0.0,16006127171.0,4006530547.0,511298.0,4252.0,3459095.0,11998244338.0,27991574910.0,3805409.0,943501.0,35112.0,f-dep-results,FMIN.D_V0,FMADD.D_V0,FMIN.D_V0_FMADD.D_V0-10
54,10003.86,3.0,0.0,0.0,16006029994.0,5340688206.0,554418.0,6728.0,4265326.0,10664539745.0,26654712576.0,4714412.0,1007677.0,41216.0,f-dep-results,FMIN.D_V0,FMAX.D_V0,FMIN.D_V0_FMAX.D_V0-10
55,10003.43,10.0,0.0,0.0,16005345983.0,5340726071.0,563052.0,9321.0,4121593.0,10663992264.0,26653831529.0,4545045.0,930765.0,38949.0,f-dep-results,FMIN.D_V0,FMIN.D_V0,FMIN.D_V0_FMIN.D_V0-10
56,10003.89,2.0,0.0,0.0,16006085077.0,5340847357.0,550625.0,5971.0,3813230.0,10664938898.0,26655748335.0,4265157.0,944644.0,40154.0,f-dep-results,FMIN.D_V0,FSGNJ.D_V0,FMIN.D_V0_FSGNJ.D_V0-10
57,10004.04,0.0,0.0,0.0,16006351849.0,5340918888.0,510327.0,3242.0,3487223.0,10665335094.0,26657567519.0,3835586.0,961978.0,35824.0,f-dep-results,FMIN.D_V0,FSGNJN.D_V0,FMIN.D_V0_FSGNJN.D_V0-10
58,10003.77,4.0,0.0,0.0,16005875759.0,4661999086.0,546499.0,7024.0,3681983.0,11343543828.0,27335011169.0,4102519.0,910289.0,40338.0,f-dep-results,FMIN.D_V0,FSUB.D_V0,FMIN.D_V0_FSUB.D_V0-10
59,10002.09,15.0,0.0,0.0,16003162260.0,4062171412.0,3467997.0,30350.0,27055144.0,11933203195.0,27788660156.0,29560202.0,4481642.0,308338.0,f-dep-results,FADD.D_V0,FNMADD.D_V0,FADD.D_V0_FNMADD.D_V0-10
60,10003.74,3.0,0.0,0.0,16005888662.0,4006478525.0,544329.0,6100.0,5973321.0,11995640728.0,27986370524.0,6393489.0,703560.0,39630.0,f-dep-results,FADD.D_V0,FNMSUB.D_V0,FADD.D_V0_FNMSUB.D_V0-10
61,9834.02,3896.0,0.0,0.0,15785105082.0,4679676399.0,5550596.0,490262.0,33845997.0,11082652184.0,26678612898.0,26761231.0,5530089.0,581264.0,f-dep-results,FADD.D_V0,FSGNJ.D_V0,FADD.D_V0_FSGNJ.D_V0-10
62,10003.59,9.0,0.0,0.0,16005633987.0,4578864376.0,557956.0,8075.0,3823982.0,11426257351.0,27416920124.0,4222932.0,847415.0,38637.0,f-dep-results,FADD.D_V0,FSGNJN.D_V0,FADD.D_V0_FSGNJN.D_V0-10
63,10003.82,4.0,0.0,0.0,16005971859.0,4578873222.0,551748.0,6096.0,4012401.0,11426429980.0,27417321206.0,4455509.0,891593.0,39564.0,f-dep-results,FADD.D_V0,FSGNJX.D_V0,FADD.D_V0_FSGNJX.D_V0-10
64,10002.72,15.0,0.0,0.0,16004313008.0,2672912016.0,562612.0,11687.0,4383583.0,13329864110.0,29318905017.0,4846527.0,954853.0,41024.0,f-dep-results,FADD.D_V0,FSQRT.D_V0,FADD.D_V0_FSQRT.D_V0-10
65,10004.02,0.0,0.0,0.0,16006307632.0,4578803724.0,508041.0,3434.0,3544633.0,11427167934.0,27419498196.0,3874744.0,944821.0,35480.0,f-dep-results,FADD.D_V0,FSUB.D_V0,FADD.D_V0_FSUB.D_V0-10
66,10003.87,3.0,0.0,0.0,16006058347.0,5339203598.0,553957.0,7399.0,4685686.0,10664293679.0,26655133835.0,5123437.0,1125897.0,39070.0,f-dep-results,FCVT.D.S_V0,FCVT.D.S_V0,FCVT.D.S_V0_FCVT.D.S_V0-10
67,10003.54,9.0,0.0,0.0,16005552416.0,5339472787.0,557067.0,8284.0,3818124.0,10664445127.0,26655962438.0,4236979.0,911964.0,38704.0,f-dep-results,FCVT.D.S_V0,FCVT.S.D_V0,FCVT.D.S_V0_FCVT.S.D_V0-10
68,10003.83,2.0,0.0,0.0,16006003512.0,5339408716.0,539509.0,5107.0,5066261.0,10663729609.0,26655076526.0,5489325.0,819259.0,38960.0,f-dep-results,FCVT.S.D_V0,FCVT.S.D_V0,FCVT.S.D_V0_FCVT.S.D_V0-10
69,9941.6,705.0,0.0,0.0,15915853036.0,2675601819.0,1490028.0,161379.0,15127703.0,13227787627.0,29087914241.0,15449493.0,2314204.0,129833.0,f-dep-results,FDIV.D_V0,FCVT.D.S_V0,FDIV.D_V0_FCVT.D.S_V0-10
70,10003.8,2.0,0.0,0.0,16005943640.0,2672766735.0,541511.0,5744.0,5555997.0,13330484504.0,29320954995.0,6022752.0,919406.0,39793.0,f-dep-results,FDIV.D_V0,FCVT.S.D_V0,FDIV.D_V0_FCVT.S.D_V0-10
71,10003.98,0.0,0.0,0.0,16006239439.0,1783577707.0,506320.0,3321.0,3472897.0,14221270662.0,30214340162.0,3772909.0,1120342.0,34728.0,f-dep-results,FDIV.D_V0,FDIV.D_V0,FDIV.D_V0_FDIV.D_V0-10
72,10003.5,10.0,0.0,0.0,16005467358.0,2292125898.0,556406.0,8066.0,3752820.0,13711794718.0,29703705899.0,4171756.0,976767.0,38777.0,f-dep-results,FDIV.D_V0,FMADD.D_V0,FDIV.D_V0_FMADD.D_V0-10
73,10004.03,0.0,0.0,0.0,16006326547.0,4007304510.0,510492.0,3297.0,3440056.0,11998658002.0,27991342347.0,3826531.0,1007019.0,35277.0,f-dep-results,FMSUB.D_V0,FCVT.D.S_V0,FMSUB.D_V0_FCVT.D.S_V0-10
74,9895.52,2472.0,0.0,0.0,15864805432.0,4028696649.0,3726093.0,324489.0,24194207.0,11819988015.0,27558983665.0,19974480.0,3852166.0,382389.0,f-dep-results,FMSUB.D_V0,FCVT.S.D_V0,FMSUB.D_V0_FCVT.S.D_V0-10
75,10003.84,2.0,0.0,0.0,16006052062.0,2291964841.0,537261.0,4859.0,5179838.0,13711116652.0,29702218021.0,5693632.0,809097.0,38940.0,f-dep-results,FMSUB.D_V0,FDIV.D_V0,FMSUB.D_V0_FDIV.D_V0-10
76,9866.67,3156.0,0.0,0.0,15828750189.0,3251349045.0,4589440.0,371100.0,26919362.0,12559251051.0,28236337710.0,21771665.0,4282574.0,423308.0,f-dep-results,FMSUB.D_V0,FMADD.D_V0,FMSUB.D_V0_FMADD.D_V0-10
77,10003.35,13.0,0.0,0.0,16005263079.0,4006126868.0,560321.0,9633.0,3804773.0,11997558054.0,27988865971.0,4200943.0,926379.0,39818.0,f-dep-results,FMSUB.D_V0,FMAX.D_V0,FMSUB.D_V0_FMAX.D_V0-10
78,10003.99,0.0,0.0,0.0,16006268869.0,4006073701.0,504879.0,2600.0,3313784.0,11998995349.0,27992838636.0,3640018.0,915813.0,34880.0,f-dep-results,FMSUB.D_V0,FMIN.D_V0,FMSUB.D_V0_FMIN.D_V0-10
79,10003.85,2.0,0.0,0.0,16006045755.0,3206350149.0,536933.0,5067.0,5174240.0,12796732034.0,28788585130.0,5603481.0,824600.0,40425.0,f-dep-results,FMSUB.D_V0,FMSUB.D_V0,FMSUB.D_V0_FMSUB.D_V0-10
80,9967.17,488.0,0.0,0.0,15953618800.0,3560977684.0,1188493.0,113562.0,11082457.0,12383941195.0,28296615693.0,11454261.0,1761833.0,100722.0,f-dep-results,FMSUB.D_V0,FMUL.D_V0,FMSUB.D_V0_FMUL.D_V0-10
81,10003.73,4.0,0.0,0.0,16005826025.0,4006116873.0,549524.0,6671.0,3835454.0,11998065704.0,27989909299.0,4265238.0,900018.0,40120.0,f-dep-results,FMSUB.D_V0,FSGNJ.D_V0,FMSUB.D_V0_FSGNJ.D_V0-10
82,10003.53,10.0,0.0,0.0,16005559594.0,4006195433.0,554607.0,8339.0,3645229.0,11997901431.0,27989909436.0,4043130.0,875786.0,38550.0,f-dep-results,FMSUB.D_V0,FSGNJN.D_V0,FMSUB.D_V0_FSGNJN.D_V0-10
83,10000.61,15.0,0.0,0.0,16000929274.0,4004812952.0,555745.0,13071.0,5662806.0,11992614796.0,27977709893.0,6035326.0,920252.0,42051.0,f-dep-results,FMSUB.D_V0,FSGNJX.D_V0,FMSUB.D_V0_FSGNJX.D_V0-10
84,10003.12,13.0,0.0,0.0,16004926119.0,4006086773.0,559665.0,9252.0,3852334.0,11997141796.0,27988444372.0,4254055.0,908850.0,39101.0,f-dep-results,FNMADD.D_V0,FMAX.D_V0,FNMADD.D_V0_FMAX.D_V0-10
85,10003.79,3.0,0.0,0.0,16005953642.0,4006145412.0,547050.0,6145.0,3796977.0,11998198603.0,27990614328.0,4232930.0,903689.0,41018.0,f-dep-results,FNMADD.D_V0,FMIN.D_V0,FNMADD.D_V0_FMIN.D_V0-10
86,10003.97,0.0,0.0,0.0,16006236441.0,3206249825.0,504850.0,2948.0,3411797.0,12798658663.0,28792203488.0,3746893.0,944316.0,36652.0,f-dep-results,FNMADD.D_V0,FMSUB.D_V0,FNMADD.D_V0_FMSUB.D_V0-10
87,10003.51,4.0,0.0,0.0,16005472609.0,3561705418.0,546131.0,5970.0,3972412.0,12442005720.0,28433705967.0,4407303.0,937086.0,39158.0,f-dep-results,FNMADD.D_V0,FMUL.D_V0,FNMADD.D_V0_FMUL.D_V0-10
88,10004.02,0.0,0.0,0.0,16006319961.0,3206230721.0,502087.0,2721.0,3250685.0,12798931544.0,28792343710.0,3583395.0,907648.0,36283.0,f-dep-results,FNMADD.D_V0,FNMADD.D_V0,FNMADD.D_V0_FNMADD.D_V0-10
89,9964.72,530.0,0.0,0.0,15950283839.0,3207616381.0,1242010.0,119024.0,11403565.0,12733585380.0,28640997268.0,11777520.0,1941447.0,104825.0,f-dep-results,FNMADD.D_V0,FNMSUB.D_V0,FNMADD.D_V0_FNMSUB.D_V0-10
90,10003.85,2.0,0.0,0.0,16006045127.0,4006037346.0,536651.0,4956.0,4913454.0,11997293911.0,27989233684.0,5305145.0,850698.0,37538.0,f-dep-results,FNMADD.D_V0,FSGNJ.D_V0,FNMADD.D_V0_FSGNJ.D_V0-10
91,10003.02,14.0,0.0,0.0,16004732535.0,4005921016.0,558783.0,9372.0,4314175.0,11996670112.0,27987233712.0,4695221.0,918158.0,39142.0,f-dep-results,FNMADD.D_V0,FSGNJN.D_V0,FNMADD.D_V0_FSGNJN.D_V0-10
92,9896.49,2417.0,0.0,0.0,15865951413.0,4026477166.0,3649769.0,322429.0,22313076.0,11824440855.0,27569775239.0,18026577.0,3803245.0,377928.0,f-dep-results,FNMADD.D_V0,FSGNJX.D_V0,FNMADD.D_V0_FSGNJX.D_V0-10
93,10003.31,11.0,0.0,0.0,16005213574.0,2292109395.0,543766.0,7289.0,3775007.0,13711523230.0,29703037269.0,4187003.0,939099.0,38736.0,f-dep-results,FNMADD.D_V0,FSQRT.D_V0,FNMADD.D_V0_FSQRT.D_V0-10
